IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
130.162.145.94,4,4,0.00,64.01,0.00
132.226.172.56,4,4,0.00,82.60,0.00
131.186.31.90,4,4,0.00,103.44,0.00
125.227.91.176,4,4,0.00,123.86,0.00
129.154.206.46,4,4,0.00,125.48,0.00
129.154.213.192,4,4,0.00,125.48,0.00
129.154.212.40,4,4,0.00,127.21,0.00
220.130.80.179,4,4,0.00,135.78,0.00
140.238.13.162,4,4,0.00,156.06,0.00
146.56.44.19,4,4,0.00,156.22,0.00
47.88.2.2,4,4,0.00,168.23,0.00
47.251.8.3,4,4,0.00,169.20,0.00
47.251.38.183,4,4,0.00,170.47,0.00
47.251.41.210,4,4,0.00,171.62,0.00
47.251.59.141,4,4,0.00,173.11,0.00
47.251.9.63,4,4,0.00,173.28,0.00
47.251.12.84,4,4,0.00,174.01,0.00
47.89.229.186,4,4,0.00,176.61,0.00
47.89.218.41,4,4,0.00,179.33,0.00
47.251.52.53,4,4,0.00,180.34,0.00
47.251.36.120,4,4,0.00,180.34,0.00
47.251.40.195,4,4,0.00,180.46,0.00
47.251.63.240,4,4,0.00,181.56,0.00
47.251.1.75,4,4,0.00,182.02,0.00
47.88.0.185,4,4,0.00,182.69,0.00
47.251.15.63,4,4,0.00,184.86,0.00
47.251.8.69,4,4,0.00,185.74,0.00
47.251.37.185,4,4,0.00,185.74,0.00
47.88.12.253,4,4,0.00,189.58,0.00
47.88.2.166,4,4,0.00,190.32,0.00
198.11.172.134,4,4,0.00,190.46,0.00
158.101.70.46,4,4,0.00,191.25,0.00
193.123.249.199,4,4,0.00,192.66,0.00
47.88.54.72,4,4,0.00,192.80,0.00
47.88.7.91,4,4,0.00,194.14,0.00
47.88.34.118,4,4,0.00,195.36,0.00
198.11.173.26,4,4,0.00,196.12,0.00
47.251.9.35,4,4,0.00,198.60,0.00
47.251.36.182,4,4,0.00,198.60,0.00
129.154.60.48,4,4,0.00,199.74,0.00
